kristal_subscription_id,skey,fund_id,fkey
18211.0,0|17197|1224590,,
18999.0,0|17197|1263794,,
65616.0,0|17197|1272135,,
38172.0,0|17197|1276546,,
32883.0,0|17212|1269908,,
38121.0,0|17213|1244852,,
25434.0,0|17213|1247440,,
30522.0,0|17213|1271154,,
38394.0,0|17213|1276564,,
22957.0,0|17214|1211600,,
18201.0,0|17214|1224590,,
38707.0,0|17214|1244852,,
22779.0,0|17214|1247440,,
18996.0,0|17214|1263794,,
24165.0,0|17214|1266190,,
24166.0,0|17214|1266191,,
59070.0,0|17214|1270393,,
27139.0,0|17214|1271154,,
38966.0,0|17214|1277083,,
39438.0,0|17214|1277358,,
27605.0,0|17216|1247440,,
17826.0,0|17217|1266122,,
19429.0,0|17217|1266144,,
31947.0,0|17217|1271154,,
2068823.0,0|17217|1275496,,
2069086.0,0|17217|1290808,,
2072133.0,0|17217|1294298,,
32799.0,0|17218|1263198,,
31477.0,0|17218|1266203,,
28125.0,0|17218|1271155,,
18205.0,0|17223|1224590,,
21404.0,0|17223|1263198,,
19004.0,0|17223|1263794,,
31219.0,0|17223|1267189,,
35473.0,0|17223|1269908,,
21199.0,0|17250|1247440,,
21408.0,0|17250|1263198,,
2074113.0,0|17250|1294693,,
28250.0,0|17262|1224590,,
17798.0,0|17262|1247440,,
17796.0,0|17262|1263198,,
30235.0,0|17262|1263794,,
22548.0,0|17262|1266179,,
35471.0,0|17262|1269908,,
31317.0,0|17262|1271154,,
65627.0,0|17262|1272135,,
35103.0,0|17262|1274686,,
35385.0,0|17262|1274879,,
39421.0,0|17262|1277357,,
2068119.0,0|17262|1289661,,
2069951.0,0|17262|1293632,,
19009.0,0|17331|1263794,,
23810.0,0|17331|1264586,,
2069314.0,0|17331|1275496,,
31592.0,0|17353|1224590,,
31000.0,0|17353|1247440,,
17846.0,0|17353|1266121,,
19368.0,0|17353|1266142,,
22547.0,0|17353|1266178,,
31001.0,0|17353|1271154,,
65797.0,0|17353|1272135,,
32066.0,0|17353|1273061,,
35393.0,0|17353|1274879,,
18203.0,0|17357|1224590,,
59398.0,0|17357|1247440,,
19000.0,0|17357|1263794,,
36732.0,0|17357|1275823,,
18207.0,0|17359|1224590,,
19007.0,0|17359|1263794,,
31963.0,0|17359|1269874,,
18010.0,0|17374|1266124,,
18631.0,0|17381|1247440,,
18673.0,0|17381|1263198,,
2071884.0,0|17381|1291020,,
23573.0,0|17403|1267189,,
18206.0,0|17408|1224590,,
37564.0,0|17408|1244852,,
18283.0,0|17408|1247440,,
19006.0,0|17408|1263794,,
43254.0,0|17408|1270394,,
65617.0,0|17408|1272135,,
38173.0,0|17408|1276546,,
47875.0,0|17408|1281971,,
18329.0,0|17420|1211600,,
22960.0,0|17420|1244852,,
18284.0,0|17420|1247440,,
18326.0,0|17420|1263198,,
19008.0,0|17420|1263794,,
40803.0,0|17420|1270394,,
27140.0,0|17420|1271154,,
31576.0,0|17420|1272135,,
48111.0,0|17420|1273420,,
33805.0,0|17420|1274012,,
35387.0,0|17420|1274879,,
2071129.0,0|17420|1275496,,
37346.0,0|17420|1276239,,
38388.0,0|17420|1276564,,
39426.0,0|17420|1277357,,
40868.0,0|17420|1278743,,
49856.0,0|17420|1282466,,
49952.0,0|17420|1282698,,
67596.0,0|17420|1289392,,
67584.0,0|17420|1289393,,
2068262.0,0|17420|1289994,,
21756.0,0|17473|1224590,,
21703.0,0|17473|1247440,,
22990.0,0|17473|1263794,,
29304.0,0|17473|1268723,,
21402.0,0|17473|1269015,,
33205.0,0|17473|1269908,,
32817.0,0|17473|1273082,,
38969.0,0|17473|1277083,,
22441.0,0|17474|1267189,,
21042.0,0|17478|1263794,,
36312.0,0|17505|1244852,,
18654.0,0|17505|1247440,,
22061.0,0|17505|1266175,,
22724.0,0|17505|1266181,,
22725.0,0|17505|1266182,,
23138.0,0|17505|1266187,,
27403.0,0|17505|1266198,,
67535.0,0|17505|1270123,,
31850.0,0|17505|1273058,,
32258.0,0|17505|1273069,,
33813.0,0|17505|1273091,,
34905.0,0|17505|1273105,,
35114.0,0|17505|1273113,,
67464.0,0|17505|1273420,,
37761.0,0|17505|1275495,,
36733.0,0|17505|1275823,,
39027.0,0|17505|1277083,,
40222.0,0|17505|1278111,,
43394.0,0|17505|1280657,,
46762.0,0|17505|1281250,,
47877.0,0|17505|1281971,,
2067980.0,0|17505|1289393,,
2068852.0,0|17505|1290669,,
2068964.0,0|17505|1290714,,
19902.0,0|17511|1263198,,
37578.0,0|17511|1267189,,
19084.0,0|17571|1247440,,
19669.0,0|17573|1211600,,
25820.0,0|17573|1244852,,
19083.0,0|17573|1247440,,
21403.0,0|17573|1263198,,
21006.0,0|17573|1263794,,
18959.0,0|17573|1266140,,
19605.0,0|17573|1266146,,
19612.0,0|17573|1266147,,
22620.0,0|17573|1266180,,
21600.0,0|17573|1268723,,
22438.0,0|17573|1269015,,
40802.0,0|17573|1270394,,
34750.0,0|17573|1273102,,
35748.0,0|17573|1273122,,
35749.0,0|17573|1273123,,
35750.0,0|17573|1273124,,
67838.0,0|17573|1273420,,
